,Date,HomeTeam,AwayTeam,FTR,TipicoH,TipicoD,TipicoA
0,15/08/08,Bayern Munich,Hamburg,D,"1,65","3,6","5,5"
1,16/08/08,Bielefeld,Werder Bremen,D,"4,8","3,4","1,8"
2,16/08/08,Cottbus,Hoffenheim,A,"2,6","3,2","2,8"
3,16/08/08,Karlsruhe,Bochum,H,"2,3","3,2","3,2"
4,16/08/08,Leverkusen,Dortmund,A,"2,1","3,3","3,6"
5,16/08/08,Schalke 04,Hannover,H,"1,65","3,6","5,5"
6,16/08/08,Wolfsburg,FC Koln,H,"1,65","3,6","5,5"
7,17/08/08,Ein Frankfurt,Hertha,A,"2,3","3,2","3,2"
8,17/08/08,M'gladbach,Stuttgart,A,"2,7","3,2","2,7"
9,22/08/08,Hannover,Cottbus,D,"1,65","3,6","5,8"
10,23/08/08,Dortmund,Bayern Munich,D,"3,5","3,2","2,2"
11,23/08/08,Hamburg,Karlsruhe,H,"1,4","4,3","8,5"
12,23/08/08,Hertha,Bielefeld,D,"1,65","3,5",6
13,23/08/08,Hoffenheim,M'gladbach,H,2,"3,3",4
14,23/08/08,Stuttgart,Leverkusen,A,2,"3,3",4
15,23/08/08,Werder Bremen,Schalke 04,D,"2,1","3,3","3,7"
16,24/08/08,Bochum,Wolfsburg,D,3,"3,2","2,4"
17,24/08/08,FC Koln,Ein Frankfurt,D,"2,3","3,2","3,2"
18,29/08/08,Karlsruhe,FC Koln,A,"2,2","3,2","3,4"
19,30/08/08,Bielefeld,Hamburg,A,4,"3,3","1,9"
20,30/08/08,Cottbus,Dortmund,A,"3,6","3,3","2,1"
21,30/08/08,Leverkusen,Hoffenheim,H,"1,75","3,5",5
22,30/08/08,M'gladbach,Werder Bremen,H,"4,8","3,4","1,8"
23,30/08/08,Schalke 04,Bochum,H,"1,45","4,2","7,5"
24,30/08/08,Wolfsburg,Ein Frankfurt,D,"1,65","3,6","5,6"
25,31/08/08,Bayern Munich,Hertha,H,"1,4","4,3","8,5"
26,31/08/08,Stuttgart,Hannover,H,"1,75","3,5",5
27,13/09/08,Dortmund,Schalke 04,D,"2,7","3,2","2,7"
28,13/09/08,FC Koln,Bayern Munich,A,6,"3,6","1,65"
29,13/09/08,Hamburg,Leverkusen,H,"2,15","3,2","3,6"
30,13/09/08,Hertha,Wolfsburg,D,"2,4","3,2",3
31,13/09/08,Hoffenheim,Stuttgart,D,3,"3,2","2,4"
32,13/09/08,Werder Bremen,Cottbus,H,"1,25","5,5",12
33,14/09/08,Bochum,Bielefeld,H,"1,95","3,4",4
